day,startDistrict,endDistrict,count
1,101,101,1619
1,101,102,655
1,101,103,528
1,101,104,348
1,101,105,67
1,101,106,93
1,101,107,51
1,101,108,10
1,101,109,1
1,101,110,1
1,101,111,1
1,101,164,4
1,101,301,29
1,101,302,146
1,101,303,6
1,101,306,13
1,101,308,4
1,101,309,2
1,101,355,1
1,101,401,1
1,102,101,698
1,102,102,1743
1,102,103,975
1,102,104,746
1,102,105,441
1,102,106,209
1,102,107,62
1,102,108,26
1,102,109,5
1,102,110,4
1,102,111,4
1,102,164,23
1,102,301,45
1,102,302,44
1,102,303,4
1,102,306,12
1,102,307,1
1,102,355,2
1,102,401,2
1,102,402,1
1,103,101,517
1,103,102,979
1,103,103,2140
1,103,104,206
1,103,105,275
1,103,106,397
1,103,107,20
1,103,108,35
1,103,109,1
1,103,110,2
1,103,111,5
1,103,164,16
1,103,301,144
1,103,302,116
1,103,303,19
1,103,306,28
1,103,308,6
1,103,355,2
1,103,401,3
1,103,402,5
1,104,101,347
1,104,102,787
1,104,103,236
1,104,104,1983
1,104,105,843
1,104,106,264
1,104,107,379
1,104,108,67
1,104,109,20
1,104,110,15
1,104,111,13
1,104,164,106
1,104,301,13
1,104,302,13
1,104,303,7
1,104,306,3
1,104,308,2
1,104,401,2
1,104,402,5
1,105,101,116
1,105,102,490
1,105,103,312
1,105,104,854
1,105,105,1227
1,105,106,589
1,105,107,194
1,105,108,120
1,105,109,6
1,105,110,27
1,105,111,23
1,105,164,309
1,105,301,13
1,105,302,15
1,105,303,1
1,105,306,7
1,105,308,1
1,105,401,15
1,105,402,10
1,106,101,93
1,106,102,223
1,106,103,395
1,106,104,285
1,106,105,515
1,106,106,816
1,106,107,44
1,106,108,187
1,106,109,6
1,106,110,1
1,106,111,22
1,106,164,56
1,106,301,11
1,106,302,11
1,106,303,1
1,106,306,3
1,106,401,18
1,106,402,6
1,107,101,42
1,107,102,72
1,107,103,21
1,107,104,402
1,107,105,214
1,107,106,58
1,107,107,1346
1,107,108,167
1,107,109,90
1,107,110,84
1,107,111,65
1,107,164,303
1,107,302,2
1,107,401,3
1,107,402,3
1,108,101,6
